Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
-0.4019,Tue Jun 05 19:25:03 +0000 2018,0.863,0.137,0.0,"'The problem with plastic is that it never goes away. It doesn't decompose. It defies nature.' 
#WorldEnvironmentDay https://t.co/Tkmj9qXzlK",1,@BBC
-0.7184,Tue Jun 05 19:02:05 +0000 2018,0.727,0.273,0.0,"#OurGirl is back and heading to Nigeria in the fight against terror. 

Our Girl | 9pm | @BBCOne |… https://t.co/epbhcujexD",2,@BBC
0.0,Tue Jun 05 18:02:06 +0000 2018,1.0,0.0,0.0,"👶🥦 If your child's a fussy eater, here are 5 tips from scientist @Dr_C_Llewellyn. https://t.co/MOhdgXa96t",3,@BBC
0.8221,Tue Jun 05 16:50:46 +0000 2018,0.719,0.0,0.281,RT @BBCTwo: Always wanted to pitch an idea to the stars of #DragonsDen? Well here’s your chance! Reply to this tweet with your best busines…,4,@BBC
-0.6486,Tue Jun 05 16:31:52 +0000 2018,0.777,0.223,0.0,"💔 Fashion designer Kate Spade, 55, has been found dead in her New York apartment.
👉 https://t.co/ku2uHiO0Nh https://t.co/sg40Mjbb12",5,@BBC
-0.1531,Tue Jun 05 16:00:22 +0000 2018,0.814,0.11,0.076,♻️🗑 These protesters want shops to take more responsibility for the overuse of plastic packaging.… https://t.co/C4YX62DYWU,6,@BBC
0.6369,Tue Jun 05 13:01:07 +0000 2018,0.84,0.0,0.16,"❤️😽 This man has vowed to be the best 'cat dad' he can be after finding random kittens under his bed. 
👉… https://t.co/fWsKzfv8s3",7,@BBC
0.6696,Tue Jun 05 12:00:22 +0000 2018,0.64,0.0,0.36,"😂 These knitted Poldark dolls are the best!
#TheGNShow https://t.co/Mpc1dWzojg",8,@BBC
0.4019,Tue Jun 05 11:12:05 +0000 2018,0.863,0.0,0.137,"RT @BBC_ARoadshow: From artists to explorers, suffragettes to swimmers #antiquesroadshow discovers the pioneering women who have help shape…",9,@BBC
0.0,Tue Jun 05 11:00:07 +0000 2018,1.0,0.0,0.0,"How does plastic actually enter our oceans? 
#WorldEnvironmentDay https://t.co/LdOt9inVFS",10,@BBC
0.0,Tue Jun 05 10:45:52 +0000 2018,1.0,0.0,0.0,RT @BBCBreakfast: Have you got yours yet? #gingeremoji https://t.co/hKwIsLspYC,11,@BBC
0.7096,Tue Jun 05 10:34:07 +0000 2018,0.763,0.0,0.237,RT @bbcthree: 17-year-old Dillon upcycles clothes to help young homeless people feel confident going to school or for job interviews. https…,12,@BBC
0.7506,Tue Jun 05 10:31:20 +0000 2018,0.758,0.0,0.242,"RT @BBCNews: ""I was disabled before it was popular.""

@LostVoiceGuy - aka Lee Ridley - is the first comedian to win Britain's Got Talent.…",13,@BBC
0.0,Tue Jun 05 10:21:33 +0000 2018,1.0,0.0,0.0,"🎨🙌 Middle-earth in colour: How Tolkien drew his fantasy universe.
👉 https://t.co/z754byqVpR https://t.co/Jr6PnQWvIU",14,@BBC
0.0,Tue Jun 05 09:34:23 +0000 2018,1.0,0.0,0.0,"It's time to think about our plastic behaviour.
#WorldEnvironmentDay https://t.co/kSzSawpYLv",15,@BBC
0.0,Tue Jun 05 08:01:03 +0000 2018,1.0,0.0,0.0,Some of Arthur C Clarke's predictions about the future were bang on... https://t.co/6M7UJv6Mmh,16,@BBC
-0.5719,Tue Jun 05 07:29:04 +0000 2018,0.654,0.346,0.0,"📎 The psychology of stealing office supplies. 
👉 https://t.co/vfXaRVYcwU https://t.co/zoPWJRXVtO",17,@BBC
0.0,Tue Jun 05 07:00:11 +0000 2018,1.0,0.0,0.0,💤 Ever wondered what your brain is up to while you're dreaming? https://t.co/2JHc0lFKbS,18,@BBC
-0.5707,Mon Jun 04 19:03:02 +0000 2018,0.822,0.178,0.0,"Versailles is back! Tonight, Madame de Montespan finds out how to hurt a former friend...  

#Versailles | 9pm |… https://t.co/5nEGyPoAp6",19,@BBC
-0.4767,Mon Jun 04 18:31:05 +0000 2018,0.829,0.171,0.0,"The story of a group of working-class women conducting a dangerous campaign for the vote.

Suffragettes with… https://t.co/RKwQbGQMdu",20,@BBC
-0.5859,Mon Jun 04 18:02:05 +0000 2018,0.769,0.231,0.0,The moment a dancing off-duty FBI agent drops his gun performing backflip and accidentally shoots man in leg. https://t.co/FIu2mCjlyP,21,@BBC
0.0,Mon Jun 04 17:01:13 +0000 2018,1.0,0.0,0.0,"📸 From #Manhattanhenge to the world's largest freshwater pearl, here are some of the most striking news photos take… https://t.co/5Tp0s3MG7n",22,@BBC
0.0,Mon Jun 04 16:01:04 +0000 2018,1.0,0.0,0.0,"🤷‍♀️😂 When @CubaGoodingJr took over @BBCBreakfast.
 https://t.co/XSPs0MOKoN",23,@BBC
-0.4215,Mon Jun 04 13:03:05 +0000 2018,0.851,0.149,0.0,"🧔 Bearded men have been taking pictures of themselves from below and it's freaking people out...
👉… https://t.co/FQ9t0swX2t",24,@BBC
0.5411,Mon Jun 04 12:34:04 +0000 2018,0.83,0.0,0.17,RT @bbcdoctorwho: Every episode of #DoctorWho since 2005 is now available to watch on @BBCiPlayer… Enjoy! https://t.co/uNWq307bei https://t…,25,@BBC
0.6369,Mon Jun 04 12:01:05 +0000 2018,0.743,0.0,0.257,"❤️ Ethan Hawke will be forever grateful to Robin Williams for helping launch his career.
#TheGNShow https://t.co/uYMvKQvuev",26,@BBC
0.0,Mon Jun 04 11:05:00 +0000 2018,1.0,0.0,0.0,"Would you describe yourself as a feminist?

#HearHer https://t.co/4UZzAu2IRO",27,@BBC
0.8774,Mon Jun 04 10:18:03 +0000 2018,0.643,0.0,0.357,"RT @BBCSpringwatch: Surely this is the only way to react to chicks fledging?! 😂 We sure are excited here at #Springwatch HQ! 

Thanks for c…",28,@BBC
0.7263,Mon Jun 04 08:00:15 +0000 2018,0.483,0.135,0.381,"💡 Brilliant idea! 

Plastic waste is being being recycled in to amazing furniture. https://t.co/cb0lSVhAFX",29,@BBC
0.0,Mon Jun 04 07:24:07 +0000 2018,1.0,0.0,0.0,"📚 Every story in the world has one of these six basic plots. 
👉 https://t.co/eoZXHpOX4q https://t.co/YC6oLjIn1O",30,@BBC
0.2006,Mon Jun 04 07:00:15 +0000 2018,0.715,0.119,0.166,📸🦊 This photographer captures foxes in their most natural of habitats - the darkness. https://t.co/bkNUknwSAC,31,@BBC
-0.296,Sun Jun 03 20:42:07 +0000 2018,0.864,0.136,0.0,RT @BBCTwo: Here's why @MrNishKumar wants The Spice Girls to stop right now. 😂 #LiveAtTheApollo https://t.co/Beqy2kfFah,32,@BBC
0.0,Sun Jun 03 20:03:08 +0000 2018,1.0,0.0,0.0,"A documentary about the trial of Jeremy Thorpe, which has remained unseen for nearly 40 years. 

The Jeremy Thorpe… https://t.co/jLEcBHG1Cx",33,@BBC
0.3818,Sun Jun 03 19:02:06 +0000 2018,0.867,0.0,0.133,"Comedian @frankieboyle is heading to Russia before the World Cup tournament begins. 

Frankie Goes to Russia | 9pm… https://t.co/moLB9EGm1Q",34,@BBC
0.0,Sun Jun 03 18:03:06 +0000 2018,1.0,0.0,0.0,"Meet the bees who make their own cologne! 🐝🇲🇽

https://t.co/wGqJoNINS2",35,@BBC
0.0,Sun Jun 03 17:04:02 +0000 2018,1.0,0.0,0.0,"🦁 Be a zoo keeper for the day
🚲 Ride a bicycle made for two 
🦈 Swim with sharks 

An eight-year-old boy has created… https://t.co/PkrSoRzoXB",36,@BBC
0.0516,Sun Jun 03 16:10:18 +0000 2018,0.818,0.086,0.095,"🦋🏰🎥 Lotte Reiniger, a forgotten pioneer of animation, was the first person to create an animated feature film in co… https://t.co/GKBkpKVFjt",37,@BBC
0.4574,Sun Jun 03 15:06:04 +0000 2018,0.572,0.0,0.428,"💍❤️ Guess that's a yes!
https://t.co/xLR4N7qtaZ",38,@BBC
0.4404,Sun Jun 03 13:03:08 +0000 2018,0.828,0.0,0.172,Cow cuddling is the new wellness trend coming to a field near you... 🐮💕 https://t.co/jEwRFBzUJe https://t.co/zUzKHQ69oU,39,@BBC
0.632,Sun Jun 03 13:00:15 +0000 2018,0.812,0.0,0.188,RT @BBCOne: This audience member made Aidan Turner his own knitted Poldark doll - and it's so cute! #TheGNShow https://t.co/94h7BfhoPk,40,@BBC
0.0,Sun Jun 03 12:03:08 +0000 2018,1.0,0.0,0.0,The one and only Jeff Goldblum reveals how to do 'the look' that every Jurassic Park actor does when they first see… https://t.co/H8dOEmsDMr,41,@BBC
0.5994,Sun Jun 03 11:03:08 +0000 2018,0.83,0.0,0.17,These beautiful black and white photographs of London remained hidden in a loft for 30 years before they were disco… https://t.co/F4PDR8kW81,42,@BBC
0.743,Sun Jun 03 10:30:00 +0000 2018,0.751,0.0,0.249,"The Queen loves the Highland pony and has set up a breeding programme to ensure they continue to survive. ❤️ 

Coun… https://t.co/S7fUN1WmK0",43,@BBC
0.8271,Sun Jun 03 10:04:05 +0000 2018,0.508,0.0,0.492,"These adorable baby hares snuggle together for warmth and comfort. 🐰💕
https://t.co/LgJsY4XuHD",44,@BBC
0.0,Sun Jun 03 08:03:02 +0000 2018,1.0,0.0,0.0,"This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa",45,@BBC
0.5719,Sun Jun 03 07:32:06 +0000 2018,0.674,0.094,0.232,"Intuition has fallen out of favour in an age of rational, analytical thinking. But should you still trust your gut?… https://t.co/pl8SydpXfy",46,@BBC
0.0,Sun Jun 03 07:04:03 +0000 2018,1.0,0.0,0.0,"Remembering the people of Bunce Island, who were sold into the British slave trade. 

https://t.co/HV5AWuWA29",47,@BBC
0.5574,Sun Jun 03 06:31:32 +0000 2018,0.695,0.076,0.228,RT @bbcweather: Today will be fine and warm with plenty of sunshine for the majority of the country apart for an isolated heavy shower. Sco…,48,@BBC
0.0,Sat Jun 02 19:10:08 +0000 2018,1.0,0.0,0.0,"Women are more likely to wait longer for a health diagnosis and to be told it’s ‘all in their heads’.
👉… https://t.co/9u3Pb6hQpT",49,@BBC
0.4215,Sat Jun 02 19:02:05 +0000 2018,0.833,0.0,0.167,"A once-in-a-lifetime conversation with Eileen Atkins, Judi Dench, Maggie Smith and Joan Plowright. ✨

Nothing Like… https://t.co/JxH075mKLm",50,@BBC
0.0,Sat Jun 02 17:29:00 +0000 2018,1.0,0.0,0.0,"Not long to go now...⚽️

#HistoryWillBeMade https://t.co/Q2BX0nK5vg",51,@BBC
0.296,Sat Jun 02 17:05:04 +0000 2018,0.779,0.086,0.135,A project to provide free sanitary products to women from low income households in Aberdeen is to be rolled out acr… https://t.co/wfdK5nWCsC,52,@BBC
-0.3612,Sat Jun 02 17:04:03 +0000 2018,0.737,0.263,0.0,🍽️🤣 When you’re too polite to complain. https://t.co/CrzNNixuaY,53,@BBC
0.0,Sat Jun 02 16:04:07 +0000 2018,1.0,0.0,0.0,🌏💫 13.8 billion years of our universe's history packed into four minutes. https://t.co/EBGmVry69j,54,@BBC
0.9337,Sat Jun 02 15:46:29 +0000 2018,0.498,0.0,0.502,RT @BBCShakespeare: Turns out even #Shakespeare acting legends love a good get together. 🎭 Tag those special friends you share everything w…,55,@BBC
-0.3412,Sat Jun 02 15:02:06 +0000 2018,0.862,0.138,0.0,"Anthony Hopkins. Emma Thompson. William Shakespeare...

👑 It really doesn't get much better than this.  
#KingLear https://t.co/wQBYFQIIlf",56,@BBC
-0.7845,Sat Jun 02 14:04:04 +0000 2018,0.723,0.277,0.0,"📱 Are health apps actually bad for your health?

'The danger is when we reduce our self-worth to a number.'
👉… https://t.co/AOWkdvf3TY",57,@BBC
0.0,Sat Jun 02 13:09:14 +0000 2018,1.0,0.0,0.0,"RT @BBCSpringwatch: BREAKING NEWS! 🚨

Our wrens have started to fledge the nest 😍 Stay up to date at https://t.co/gIA23qZAHX
#Springwatch h…",58,@BBC
-0.4767,Sat Jun 02 13:01:05 +0000 2018,0.829,0.171,0.0,"In 1966, a group of schoolchildren made some sad and uncannily accurate predictions about the future. https://t.co/gNGkpeyoZ9",59,@BBC
0.4939,Sat Jun 02 12:02:03 +0000 2018,0.849,0.0,0.151,"🤔👔 This men's T-shirt shirt is selling for £935 and it's left loads of people pretty baffled.
👉… https://t.co/yONjwKqdkz",60,@BBC
0.0,Sat Jun 02 11:06:03 +0000 2018,1.0,0.0,0.0,🦆 Swans have been borrowing items from @SteveBackshall to build their nests for the last few years.  https://t.co/d5S5PG9Ygi,61,@BBC
0.4199,Sat Jun 02 09:00:14 +0000 2018,0.782,0.0,0.218,"📸🐶 Call the puparazzi, these divas are ready to shine! 💎https://t.co/zYrpgXF69z",62,@BBC
0.0,Sat Jun 02 08:01:03 +0000 2018,1.0,0.0,0.0,"🙌❤️ Take us back to @NiallOfficial at #BiggestWeekend.

There's still time to catch up on this incredible set + lot… https://t.co/sP2h8cjgsw",63,@BBC
-0.4019,Sat Jun 02 07:51:56 +0000 2018,0.881,0.119,0.0,"RT @bbcmusic: We knew @TaylorSwift13 was trouble when she touched down in Swansea 😅😍

Watch her showstopping @BBCR1 #BiggestWeekend set in…",64,@BBC
0.0,Fri Jun 01 19:06:04 +0000 2018,1.0,0.0,0.0,🎤❤️ #BTS are on the lips and screens of fans everywhere as the #Kpop band smash records in real life and on social… https://t.co/h7KwxeZQm5,65,@BBC
0.0,Fri Jun 01 18:01:07 +0000 2018,1.0,0.0,0.0,😈 Cute...but deadly. https://t.co/lhpd0watrN,66,@BBC
0.0,Fri Jun 01 16:33:00 +0000 2018,1.0,0.0,0.0,Leaving work on a Friday like... 👋💃#FridayFeeling @Camila_Cabello https://t.co/oJUssdSPfb,67,@BBC
0.0,Fri Jun 01 16:04:04 +0000 2018,1.0,0.0,0.0,🧠🎞 A film where the plot changes depending on the viewer’s brain activity has been developed. https://t.co/7UCYCO7Xyz,68,@BBC
0.4588,Fri Jun 01 15:29:31 +0000 2018,0.842,0.0,0.158,RT @BBCScotland: Watch one of Scotland's best-known structures appear from the mist in this stunning timelapse https://t.co/h0mUFTKcmQ,69,@BBC
0.6249,Fri Jun 01 14:24:40 +0000 2018,0.797,0.0,0.203,"RT @bbcgetinspired: Meet the Nawaz family and hear how #SuperMovers is helping them get a better night’s sleep. 

Remember to check out Sup…",70,@BBC
0.1779,Fri Jun 01 13:00:21 +0000 2018,0.7,0.115,0.185,"A natural hair dye based on the blackcurrant waste from the production of Ribena has been created by scientists.
👉… https://t.co/4e001z6rPc",71,@BBC
0.5719,Fri Jun 01 12:32:03 +0000 2018,0.684,0.0,0.316,"Smithy knows how to celebrate #nationalfishandchipday properly. 😂🍟

https://t.co/FFV75BsW0Q",72,@BBC
0.0,Fri Jun 01 12:01:05 +0000 2018,1.0,0.0,0.0,"🌽🍔🌮 Vegan junk food, anyone? 
#MillionPoundMenu https://t.co/MY5i9Xph5H",73,@BBC
0.0772,Fri Jun 01 11:10:46 +0000 2018,0.947,0.0,0.053,RT @BBCTwo: Want to learn some quick Swedish and Danish? Here’s the cast of #TheBridge with some everyday phrases you might need… ☠😱 https:…,74,@BBC
-0.2732,Fri Jun 01 11:00:16 +0000 2018,0.791,0.136,0.073,😢 @NatGeoMag has published a selection of startling photos highlighting the vast amounts of discarded plastic choki… https://t.co/vdjw1nnW36,75,@BBC
0.0,Fri Jun 01 10:28:25 +0000 2018,1.0,0.0,0.0,"RT @BBCBreakfast: Come on then, who wants to get their hands on the world's largest freshwater pearl? 🙋🙋‍♂️ https://t.co/C0QV5sHSRx",76,@BBC
0.0,Fri Jun 01 10:01:36 +0000 2018,1.0,0.0,0.0,"🎶 Won’t you listen to the man that’s… reading you a #BedtimeStory! 
 
📚 Catch @george_ezra tonight on #CBeebies! https://t.co/mcCzqePrQ7",77,@BBC
0.0,Fri Jun 01 08:20:46 +0000 2018,1.0,0.0,0.0,"RT @BBC6Music: Which Biggest Weekend sets will you be watching back on iPlayer?

We asked Neneh (@misscherrylala), @Hanpeel, @Franz_Ferdina…",78,@BBC
0.0,Fri Jun 01 08:00:05 +0000 2018,1.0,0.0,0.0,"This guy is INCREDIBLE 😂
#Hardball https://t.co/HiI4Uxe5TZ",79,@BBC
0.0,Fri Jun 01 07:33:03 +0000 2018,1.0,0.0,0.0,The 1960s counterculture fuelled an artistic explosion in the US – but were the flower children merely privileged?… https://t.co/T81ZRLcQQr,80,@BBC
0.3182,Fri Jun 01 07:00:15 +0000 2018,0.496,0.198,0.306,Is individualism to be celebrated or lamented? https://t.co/85gs317qM5,81,@BBC
-0.7003,Thu May 31 19:02:02 +0000 2018,0.734,0.266,0.0,"'There's nothing a man can do that a woman cannot do'. 

Meet the Nigerian girls fighting out of poverty. 🥊

https://t.co/d0fm8HShEK",82,@BBC
0.6041,Thu May 31 18:03:07 +0000 2018,0.768,0.0,0.232,"Did @PanicAtTheDisco's @BrendonUrie just reveal he was almost in The Greatest Showman? 😱🎶

https://t.co/7YXvyrTfHw",83,@BBC
0.6369,Thu May 31 17:02:06 +0000 2018,0.769,0.0,0.231,"😍 A baby tamandua called Poco has been born at @ZSLLondonZoo and we're in love. 
👉 https://t.co/RM8LMd1PXm https://t.co/vI4Jkn6iVG",84,@BBC
0.0,Thu May 31 16:03:03 +0000 2018,1.0,0.0,0.0,"Introducing: the little owl! 🦉 💚

Less nocturnal than other owls, you can often see these birds during the day.

https://t.co/Tn8nNXr5Wd",85,@BBC
-0.3612,Thu May 31 15:57:37 +0000 2018,0.865,0.135,0.0,"RT @bbcthree: We asked people how debt has made them feel. 

More #debtweek content here: https://t.co/UJmBR9F7ij https://t.co/eEycLWdPlu",86,@BBC
0.0,Thu May 31 15:34:05 +0000 2018,1.0,0.0,0.0,"RT @BBCSport: #AnnounceVR = ✅

#AnnounceUltraHD = ✅ 

#bbcworldcup #worldcup https://t.co/PQuzRhjh7L",87,@BBC
0.3612,Thu May 31 15:34:00 +0000 2018,0.8,0.0,0.2,This is what London looked like 2000 years ago.  #LondonHistoryDay https://t.co/oR66LdjZfs,88,@BBC
-0.4019,Thu May 31 15:27:30 +0000 2018,0.891,0.109,0.0,"RT @BBC3CR: For the first time in the history of Luton International Carnival, a group of blind and visually impaired people have taken par…",89,@BBC
0.0,Thu May 31 15:02:07 +0000 2018,1.0,0.0,0.0,"""Goodbye my friend..."" 🇬🇧 🧡

On this day 20 years ago, @GeriHalliwell announced that she was leaving the Spice Girl… https://t.co/NZtZJfNyBF",90,@BBC
0.1027,Thu May 31 13:59:09 +0000 2018,0.897,0.0,0.103,🎧🎤 South Korean boy band @BTS_twt have this week become the first #Kpop artists to reach number one on the US album… https://t.co/pb9roPNAKU,91,@BBC
0.6908,Thu May 31 13:03:35 +0000 2018,0.778,0.0,0.222,"RT @BBCR1: Who's been enjoying @AdeleRoberts' Tune of the Week from @BTS_twt? 😍

Make sure you're listening tomorrow morning to hear her pl…",92,@BBC
-0.8176,Thu May 31 13:03:02 +0000 2018,0.584,0.374,0.043,"'No one's life should end because of debt.'
A debt counsellor writes: 'No matter how big the problem, there's alway… https://t.co/DNgWWkaTFN",93,@BBC
0.0,Thu May 31 12:09:57 +0000 2018,1.0,0.0,0.0,"Will you marry me? 💍 
Will you marry me? 💍

This double marriage proposal video gives us all the feels. https://t.co/xLR4N7qtaZ",94,@BBC
0.0,Thu May 31 12:05:02 +0000 2018,1.0,0.0,0.0,"When a hedgehog causes carnage. 😂🦔 #CarShare @peterkay_co_uk
https://t.co/8gbgEKhFqf",95,@BBC
0.743,Thu May 31 11:00:15 +0000 2018,0.704,0.0,0.296,"😋🍽 Feast your eyes on fantastic, healthy lunch recipes to keep you fuller for longer.
👉 https://t.co/qfzdu7Umdp https://t.co/iWjOuhR8dE",96,@BBC
-0.6705,Thu May 31 10:01:31 +0000 2018,0.8,0.2,0.0,"Japanese hunters caught and killed 122 pregnant minke whales as part of its Antarctic summer 'field survey'.
👉… https://t.co/vZxb1v7EGc",97,@BBC
0.0,Thu May 31 09:23:26 +0000 2018,1.0,0.0,0.0,"RT @BBCR1: ⚡️ “Nick Grimshaw and Greg James to swap Radio 1 shows”

https://t.co/mUcM0Nkrpo",98,@BBC
0.0,Thu May 31 08:52:40 +0000 2018,1.0,0.0,0.0,RT @bbcpress: 📻 BREAKING: @Grimmers and @GregJames to swap @BBCR1 shows. Greg will be the new host of @R1Breakfast from this Autumn: https:…,99,@BBC
0.765,Thu May 31 08:00:14 +0000 2018,0.742,0.0,0.258,"❤️ David, a chauffeur of over 25 years, discovers a shared love of motors with 4 year old Leo, who's on the autism… https://t.co/e26favMTTV",100,@BBC
0.3595,Wed Jun 06 00:08:30 +0000 2018,0.872,0.0,0.128,"RT @CBSThisMorning: .@SaraBareilles and @joshgroban are hosting this Sunday's @TheTonyAwards on @CBS! 

Wednesday, they'll join us LIVE on…",1,@CBS
-0.4404,Tue Jun 05 22:23:35 +0000 2018,0.723,0.177,0.1,"RT @SU2C: SU2C telecast Co-Executive Producer Bradley Cooper sits down with Mitch Carbon, a pediatric cancer survivor who benefited from #S…",2,@CBS
0.4574,Tue Jun 05 22:12:28 +0000 2018,0.824,0.0,0.176,RT @StrangeAngel: About last night... The #StrangeAngel screening party was a blast! Pun intended. 🚀😏 https://t.co/m64EcNmweY,3,@CBS
0.5093,Tue Jun 05 19:00:02 +0000 2018,0.845,0.0,0.155,These CBS stars can really belt it out! Find out which celebs from your favorite shows are pitch-perfect:… https://t.co/X4zMACFazB,4,@CBS
0.0,Tue Jun 05 15:04:41 +0000 2018,1.0,0.0,0.0,"More stars are set to appear at the #TonyAwards, including @billyjoel, @amyschumer, and @katharinemcphee. See who e… https://t.co/lPUocBcn9t",5,@CBS
0.0,Mon Jun 04 17:00:00 +0000 2018,1.0,0.0,0.0,"The #TonyAwards are just days away, and @joshgroban and @SaraBareilles will bring all they've got to Broadway's Big… https://t.co/eKkWn6ClSq",6,@CBS
-0.3903,Fri Jun 01 17:39:17 +0000 2018,0.807,0.131,0.062,"Call us old-fashioned, but we donut want you missing out on #NationalDonutDay! Here are a few treats from us to you… https://t.co/HpzN8bQ3SO",7,@CBS
0.8442,Fri Jun 01 17:00:03 +0000 2018,0.664,0.0,0.336,Remember @Lin_Manuel’s beautiful sonnet from the 70th Annual Tony Awards®? Relive some of the greatest moments in… https://t.co/IZjeQLd58C,8,@CBS
0.8932,Thu May 31 23:50:00 +0000 2018,0.545,0.0,0.455,"Good friends @joshgroban and @SaraBareilles are hosting the #TonyAwards together? Well, this is bound to be fun! https://t.co/26Vgzp0s2e",9,@CBS
0.4926,Wed May 30 15:07:34 +0000 2018,0.849,0.0,0.151,"The #TonyAwards just got even better because @UzoAduba, @MattBomer, and more stars will be presenting live! Find ou… https://t.co/hfFBtWo1T9",10,@CBS
0.0,Mon May 28 21:00:01 +0000 2018,1.0,0.0,0.0,"Mark your calendars. @SalvationCBS returns Monday, June 25 at 9/8c! ☄️ https://t.co/N9pYuhYLRF",11,@CBS
0.0,Mon May 28 02:08:19 +0000 2018,1.0,0.0,0.0,RT @thegoodfight: All episodes of season 2 are now available. Stream #TheGoodFight on CBS All Access: https://t.co/k3tn8kR9KC https://t.co/…,12,@CBS
0.6239,Wed May 23 23:07:38 +0000 2018,0.789,0.0,0.211,Get the popcorn ready! 🍿  It's going to be an unforgettable @survivorcbs finale. Make sure to tune in TONIGHT at 8/… https://t.co/vp0JyqfXMQ,13,@CBS
0.5859,Wed May 23 19:02:43 +0000 2018,0.826,0.0,0.174,"RT @StrangeAngel: Every brilliant mind has a dark side. #StrangeAngel launches June 14, only on CBS All Access. https://t.co/y0MZg1BzEB htt…",14,@CBS
0.1139,Tue May 22 23:19:40 +0000 2018,0.917,0.0,0.083,Prepare yourself. The @NCIS_CBS season finale is unlike any other. Don't miss it TONIGHT at 8/7c. https://t.co/MOH6uiFc0C,15,@CBS
0.0,Tue May 22 20:02:22 +0000 2018,1.0,0.0,0.0,"Summer heats up with @CBSBigBrother, @SalvationCBS, and the brand-new competition series @TKOCBS. Find out when you… https://t.co/DxE7OnKs17",16,@CBS
0.0,Mon May 21 23:00:01 +0000 2018,1.0,0.0,0.0,Who’s going to be watching the season finale of @ManWithAPlan tonight? RT if you'll be tuning in at 8:30/7:30c! https://t.co/ARLRtVuGuc,17,@CBS
0.3382,Sun May 20 20:00:00 +0000 2018,0.808,0.061,0.131,The season finale of @MadamSecretary will leave you speechless! Make sure to tune in tonight at 10/9c. https://t.co/hqxkLZsWpl,18,@CBS
0.1867,Sun May 20 17:00:01 +0000 2018,0.92,0.0,0.08,The @NCISLA season finale is going to be a wild ride. Don't miss all of the action starting TONIGHT at 8/7c! https://t.co/PNtUuVf9VQ,19,@CBS
0.4199,Sat May 19 08:00:01 +0000 2018,0.715,0.0,0.285,Retweet if you're ready for the #RoyalWedding! https://t.co/k57NM7OrXn,20,@CBS
0.0,Fri May 18 21:00:01 +0000 2018,1.0,0.0,0.0,It's going down (literally) on the Season Finale of @HawaiiFive0CBS when a submarine appears off the coast of Waiki… https://t.co/oD7Le5XUz6,21,@CBS
0.3595,Fri May 18 14:00:03 +0000 2018,0.849,0.0,0.151,"The #RoyalWedding is finally here, and you're invited! Join @CBSThisMorning’s @GayleKing and @etnow’s @KevinFrazier… https://t.co/Q5xiRkXLUz",22,@CBS
0.7177,Thu May 17 23:44:27 +0000 2018,0.715,0.0,0.285,When the @LifeInPiecesCBS season finale is back-to-back episodes. 👏 Get ready for double the laughs at 9/8c! https://t.co/SYW5UzXobv,23,@CBS
0.1867,Thu May 17 21:19:59 +0000 2018,0.907,0.0,0.093,Rules were made to be broken.💥 Don't miss the heart-pounding season finale of @swatcbs TONIGHT at 10/9c! https://t.co/NXLbeIrvcp,24,@CBS
0.0,Thu May 17 19:12:51 +0000 2018,1.0,0.0,0.0,"Is it fall yet? Check out the first looks at our new fall shows and stars from the CBS Upfront!

https://t.co/l7GQVRzRFw",25,@CBS
0.5562,Thu May 17 13:00:00 +0000 2018,0.854,0.0,0.146,How many shows can you binge in a month? Find out with a 1 month free trial of CBS All Access! Use code STREAMITALL… https://t.co/yccQppCaxC,26,@CBS
0.75,Thu May 17 00:00:00 +0000 2018,0.758,0.0,0.242,"Save the dates! The CBS Fall lineup is here, and we're welcoming six new shows in addition to returning hits. Which… https://t.co/f9PSQfpHL7",27,@CBS
0.5574,Wed May 16 22:56:24 +0000 2018,0.841,0.0,0.159,What happens when the friendliest guy in the Midwest moves his family next door to a not-so-friendly new LA neighbo… https://t.co/KtEoNE3deL,28,@CBS
